,true_value,predicted_value
2020-07-19,131.0,264.99567
2020-07-22,110.0,266.55432
2020-07-25,93.0,257.3551
2020-07-28,93.0,234.9837
2020-07-31,86.0,200.25822
2020-08-03,77.0,180.02403
2020-08-06,69.0,164.38869
2020-08-09,65.0,155.35744
2020-08-12,80.0,149.05812
2020-08-15,76.0,143.95927
2020-08-18,73.0,94.44286
2020-08-21,72.0,96.61953
2020-08-24,68.0,115.4741
2020-08-27,71.0,87.50441
2020-08-30,68.0,108.883354
2020-09-02,81.0,88.90515
2020-09-05,67.0,80.43143
2020-09-08,80.0,91.99643
2020-09-11,143.0,114.14096
2020-09-14,105.0,161.31049
2020-09-17,127.0,139.8813
2020-09-20,165.0,133.88254
2020-09-23,228.0,137.15433
2020-09-26,261.0,139.34146
2020-09-29,314.0,137.48729
2020-10-02,369.0,188.19832
2020-10-05,393.0,234.01477
2020-10-08,436.0,240.87387
2020-10-11,477.0,251.40002
2020-10-14,563.0,324.0403
2020-10-17,614.0,363.21835
2020-10-20,698.0,459.44717
2020-10-23,744.0,418.44617
2020-10-26,853.0,566.0896
2020-10-29,974.0,451.2049
2020-11-01,979.0,513.5816
2020-11-04,1193.0,488.5467
2020-11-07,1207.0,582.7582
2020-11-10,1219.0,540.2639
2020-11-13,1355.0,597.90045
2020-11-16,1391.0,768.85474
2020-11-19,1426.0,793.1473
2020-11-22,1454.0,861.2612
2020-11-25,1480.0,1031.5049
2020-11-28,1378.0,993.87476
2020-12-01,1351.0,1018.20874
2020-12-04,1274.0,1170.0323
2020-12-07,1271.0,1174.6663
2020-12-10,1267.0,1373.958
2020-12-13,1281.0,1285.3983
2020-12-16,1340.0,1458.5182
2020-12-19,1412.0,1415.6719
2020-12-22,1529.0,1435.2407
2020-12-25,1616.0,1336.4454
2020-12-28,1847.0,1404.2269
2020-12-31,2122.0,1447.6571
2021-01-03,2420.0,1407.1417
2021-01-06,2821.0,1353.9321
2021-01-09,3145.0,1438.7673
2021-01-12,3496.0,1341.3071
2021-01-15,3789.0,1352.6062
2021-01-18,3916.0,1582.0287
2021-01-21,3960.0,1800.6521
2021-01-24,4077.0,2079.8203
2021-01-27,3937.0,2368.0217
2021-01-30,3806.0,2691.059
2021-02-02,3635.0,3056.4382
2021-02-05,3505.0,3026.9277
2021-02-08,3230.0,2544.0674
2021-02-11,3036.0,2130.0845
2021-02-14,2851.0,2559.552
2021-02-17,2614.0,2150.7903
2021-02-20,2358.0,1815.252
2021-02-23,2143.0,2162.72
2021-02-26,1971.0,2350.4478
2021-03-01,1806.0,1606.6378
