,true_value,predicted_value
2021-04-02,485.0,656.3401
2021-04-05,461.0,551.438
2021-04-08,421.0,241.61511
2021-04-11,385.0,569.5943
2021-04-14,351.0,397.8045
2021-04-17,323.0,327.55676
2021-04-20,300.0,385.4699
2021-04-23,243.0,345.6973
2021-04-26,227.0,311.03058
2021-04-29,196.0,292.93344
2021-05-02,196.0,344.9989
2021-05-05,182.0,281.14468
2021-05-08,151.0,282.88486
2021-05-11,138.0,240.62517
2021-05-14,124.0,207.22057
2021-05-17,125.0,234.44926
2021-05-20,123.0,247.73761
2021-05-23,120.0,231.71158
2021-05-26,125.0,217.4228
2021-05-29,119.0,167.36577
2021-06-01,136.0,138.36183
2021-06-04,130.0,123.3187
2021-06-07,148.0,156.37498
2021-06-10,158.0,244.83223
2021-06-13,188.0,156.23718
2021-06-16,208.0,229.10635
2021-06-19,215.0,215.82857
2021-06-22,250.0,177.29875
2021-06-25,257.0,226.53487
2021-06-28,297.0,266.28775
2021-07-01,300.0,285.13647
2021-07-04,336.0,358.135
2021-07-07,417.0,421.6518
2021-07-10,448.0,451.04584
2021-07-13,522.0,478.30026
2021-07-16,573.0,526.63885
2021-07-19,611.0,537.6416
2021-07-22,699.0,820.6947
2021-07-25,779.0,1006.17584
2021-07-28,853.0,1103.5668
2021-07-31,893.0,1047.1716
2021-08-03,887.0,850.90436
2021-08-06,870.0,1048.5493
2021-08-09,859.0,834.4647
2021-08-12,882.0,934.8449
2021-08-15,898.0,712.01044
2021-08-18,909.0,945.7622
2021-08-21,955.0,987.31866
2021-08-24,957.0,855.3203
2021-08-27,988.0,840.97003
2021-08-30,984.0,1054.0276
2021-09-02,1038.0,917.9364
2021-09-05,1018.0,948.46027
2021-09-08,1060.0,893.47974
2021-09-11,1027.0,936.56934
2021-09-14,1060.0,908.8927
2021-09-17,1011.0,1042.6598
2021-09-20,982.0,1095.6965
2021-09-23,916.0,1011.70764
2021-09-26,839.0,1007.4971
2021-09-29,813.0,1309.0894
2021-10-02,764.0,1086.251
2021-10-05,800.0,911.88904
2021-10-08,780.0,957.5017
2021-10-11,747.0,909.59705
2021-10-14,783.0,867.30133
2021-10-17,819.0,772.23016
2021-10-20,872.0,863.2799
2021-10-23,869.0,779.39185
2021-10-26,952.0,1031.8246
2021-10-29,962.0,896.5566
2021-11-01,1030.0,904.26056
2021-11-04,1034.0,959.22327
2021-11-07,1012.0,1003.38745
2021-11-10,1008.0,999.3528
2021-11-13,974.0,924.24286
2021-11-16,938.0,961.02704
2021-11-19,911.0,976.8153
2021-11-22,928.0,984.6065
2021-11-25,925.0,946.0246
2021-11-28,919.0,961.51556
2021-12-01,895.0,944.744
2021-12-04,895.0,902.00183
2021-12-07,880.0,890.60913
2021-12-10,901.0,889.1412
2021-12-13,900.0,932.1311
2021-12-16,875.0,843.4588
2021-12-19,858.0,916.02344
2021-12-22,842.0,907.3856
2021-12-25,838.0,989.11285
2021-12-28,851.0,946.55194
2021-12-31,883.0,1017.5801
2022-01-03,878.0,1343.1946
2022-01-06,868.0,1345.9326
2022-01-09,816.0,1356.8903
2022-01-12,785.0,1856.4044
2022-01-15,712.0,1095.824
2022-01-18,703.0,980.5471
2022-01-21,640.0,973.9067
2022-01-24,598.0,1173.9532
2022-01-27,549.0,1097.3535
2022-01-30,520.0,971.40045
2022-02-02,483.0,1077.0945
2022-02-05,458.0,729.9064
2022-02-08,430.0,925.76886
2022-02-11,416.0,672.8261
2022-02-14,393.0,657.8127
2022-02-17,330.0,737.5053
2022-02-20,334.0,591.6709
2022-02-23,304.0,566.79425
2022-02-26,255.0,582.2441
2022-03-01,278.0,499.06528
2022-03-04,257.0,626.3076
2022-03-07,269.0,595.1076
2022-03-10,253.0,682.8462
2022-03-13,257.0,676.16425
2022-03-16,281.0,764.5768
2022-03-19,277.0,611.54706
2022-03-22,316.0,738.1167
2022-03-25,333.0,740.4524
2022-03-28,363.0,714.13226
2022-03-31,356.0,444.3167
2022-04-03,342.0,383.5199
2022-04-06,361.0,566.70856
2022-04-09,367.0,434.5763
2022-04-12,385.0,582.96027
2022-04-15,320.0,418.35077
2022-04-18,326.0,406.90125
2022-04-21,338.0,369.7476
2022-04-24,324.0,505.5852
2022-04-27,310.0,348.5756
2022-04-30,304.0,305.6477
2022-05-03,278.0,354.45984
2022-05-06,237.0,325.93246
2022-05-09,213.0,344.65698
2022-05-12,191.0,327.76147
2022-05-15,199.0,239.96223
2022-05-18,188.0,352.1255
2022-05-21,184.0,248.66304
2022-05-24,160.0,310.26532
2022-05-27,149.0,273.84088
2022-05-30,134.0,229.96254
2022-06-02,141.0,262.49323
2022-06-05,128.0,312.39795
2022-06-08,139.0,184.9848
2022-06-11,145.0,263.28937
2022-06-14,153.0,239.90382
2022-06-17,138.0,275.5039
2022-06-20,174.0,392.4706
2022-06-23,178.0,366.94092
2022-06-26,214.0,397.05746
2022-06-29,234.0,304.76712
2022-07-02,254.0,335.9359
2022-07-05,273.0,377.40915
2022-07-08,267.0,380.04926
2022-07-11,306.0,369.24365
2022-07-14,320.0,598.6027
2022-07-17,324.0,393.64966
2022-07-20,325.0,540.2451
2022-07-23,319.0,264.48544
2022-07-26,339.0,318.7271
2022-07-29,296.0,333.19455
2022-08-01,280.0,299.01666
2022-08-04,258.0,229.52625
2022-08-07,234.0,253.15231
2022-08-10,240.0,251.53908
2022-08-13,216.0,266.657
2022-08-16,214.0,263.7061
2022-08-19,196.0,208.48788
2022-08-22,172.0,214.62498
2022-08-25,153.0,170.7316
2022-08-28,147.0,191.8277
2022-08-31,163.0,178.66315
2022-09-03,148.0,195.42253
2022-09-06,150.0,221.83559
2022-09-09,136.0,135.39903
2022-09-12,136.0,146.43365
2022-09-15,150.0,147.92204
2022-09-18,140.0,121.35593
2022-09-21,159.0,151.81499
2022-09-24,164.0,173.01595
2022-09-27,177.0,255.5905
2022-09-30,175.0,228.459
