,true_value,predicted_value
2020-07-12,159.0,262.3985
2020-07-15,153.0,261.0196
2020-07-18,137.0,257.34012
2020-07-21,137.0,234.60428
2020-07-24,104.0,200.25893
2020-07-27,97.0,182.67136
2020-07-30,84.0,158.34227
2020-08-02,85.0,134.38219
2020-08-05,73.0,139.1418
2020-08-08,62.0,120.716225
2020-08-11,73.0,94.633804
2020-08-14,73.0,93.448555
2020-08-17,73.0,108.66048
2020-08-20,76.0,85.78219
2020-08-23,72.0,105.86906
2020-08-26,64.0,89.64821
2020-08-29,66.0,75.03125
2020-09-01,82.0,85.84162
2020-09-04,69.0,111.90499
2020-09-07,77.0,137.81497
2020-09-10,78.0,105.758995
2020-09-13,92.0,117.90246
2020-09-16,124.0,116.62063
2020-09-19,144.0,120.02547
2020-09-22,211.0,94.405426
2020-09-25,262.0,166.42696
2020-09-28,297.0,152.61993
2020-10-01,341.0,173.9442
2020-10-04,369.0,217.12686
2020-10-07,442.0,329.39142
2020-10-10,469.0,317.4942
2020-10-13,516.0,366.9035
2020-10-16,592.0,333.49417
2020-10-19,658.0,443.0854
2020-10-22,708.0,460.98376
2020-10-25,828.0,541.969
2020-10-28,957.0,517.02356
2020-10-31,1003.0,584.76306
2020-11-03,1144.0,522.1696
2020-11-06,1187.0,619.48486
2020-11-09,1271.0,774.7198
2020-11-12,1275.0,793.146
2020-11-15,1397.0,895.95074
2020-11-18,1430.0,1081.2029
2020-11-21,1447.0,1129.1812
2020-11-24,1489.0,1184.4127
2020-11-27,1417.0,1046.8347
2020-11-30,1357.0,1194.9379
2020-12-03,1261.0,1331.1359
2020-12-06,1249.0,1159.5515
2020-12-09,1243.0,1427.1407
2020-12-12,1243.0,1380.5046
2020-12-15,1326.0,1435.798
2020-12-18,1364.0,1309.7526
2020-12-21,1512.0,1355.8788
2020-12-24,1607.0,1327.5507
2020-12-27,1751.0,1361.8987
2020-12-30,2066.0,1330.7673
2021-01-02,2256.0,1439.8915
2021-01-05,2645.0,1474.4374
2021-01-08,3098.0,1432.7981
2021-01-11,3363.0,1581.1857
2021-01-14,3672.0,1832.9773
2021-01-17,3871.0,2169.9712
2021-01-20,3953.0,2413.1646
2021-01-23,4066.0,2871.9976
2021-01-26,3961.0,3147.114
2021-01-29,3832.0,3465.9734
2021-02-01,3726.0,3342.9983
2021-02-04,3572.0,2943.962
2021-02-07,3302.0,3019.9587
2021-02-10,3132.0,2799.6777
2021-02-13,2842.0,2534.5605
2021-02-16,2708.0,2217.0562
2021-02-19,2469.0,2308.9312
2021-02-22,2273.0,1837.4772
2021-02-25,2047.0,2011.551
2021-02-28,1783.0,1723.0151
2021-03-03,1647.0,1990.7145
2021-03-06,1449.0,1451.8325
2021-03-09,1292.0,1916.1971
2021-03-12,1110.0,1224.6694
2021-03-15,1016.0,1488.7955
2021-03-18,879.0,1228.495
2021-03-21,768.0,837.54297
2021-03-24,682.0,1071.7241
2021-03-27,594.0,861.2413
2021-03-30,568.0,885.6262
