Horizon (Days),RMSE,MSE,MAE
7,210.8560414196759,44460.270203176085,126.87699937996389
14,347.07025321471264,120457.76066652476,201.58888278412203
21,456.6309135197727,208511.79118190217,261.53006713416744
28,533.8834522042654,285031.5405375441,308.1699485356517
