date,covidOccupiedMVBeds,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,residential_percent_change_from_baseline,year,month,day,weekend,hospitalCases_lagged,newAdmissions_lagged,grocery_and_pharmacy_percent_change_from_baseline_lagged,workplaces_percent_change_from_baseline_lagged
2020-06-01,652.0,-56.0,74.0,-51.0,19.0,2020.0,6.0,0,0,0.0,0.0,0.0,0.0
2020-06-02,636.0,-59.0,78.0,-51.0,19.0,2020.0,6.0,1,0,0.0,0.0,0.0,0.0
2020-06-03,602.0,-62.0,0.0,-57.0,22.0,2020.0,6.0,2,0,0.0,0.0,0.0,0.0
2020-06-04,571.0,-61.0,19.0,-56.0,22.0,2020.0,6.0,3,0,0.0,0.0,-13.0,0.0
2020-06-05,554.0,-63.0,9.0,-56.0,22.0,2020.0,6.0,4,0,0.0,0.0,-15.0,0.0
2020-06-06,540.0,-70.0,-17.0,-57.0,14.0,2020.0,6.0,5,1,7171.0,0.0,-19.0,0.0
2020-06-07,515.0,-67.0,22.0,-51.0,10.0,2020.0,6.0,6,1,7014.0,0.0,-17.0,0.0
2020-06-08,509.0,-56.0,44.0,-54.0,19.0,2020.0,6.0,0,0,6750.0,0.0,-17.0,-53.0
2020-06-09,491.0,-58.0,56.0,-53.0,20.0,2020.0,6.0,1,0,6525.0,0.0,-22.0,-54.0
2020-06-10,439.0,-61.0,-1.0,-58.0,21.0,2020.0,6.0,2,0,6325.0,0.0,-23.0,-54.0
2020-06-11,390.0,-59.0,15.0,-58.0,21.0,2020.0,6.0,3,0,6097.0,0.0,-17.0,-54.0
2020-06-12,393.0,-61.0,6.0,-57.0,21.0,2020.0,6.0,4,0,5892.0,0.0,-17.0,-53.0
2020-06-13,390.0,-65.0,41.0,-49.0,11.0,2020.0,6.0,5,1,5879.0,0.0,-19.0,-33.0
2020-06-14,393.0,-63.0,65.0,-46.0,8.0,2020.0,6.0,6,1,5684.0,605.0,-17.0,-28.0
2020-06-15,385.0,-46.0,63.0,-50.0,18.0,2020.0,6.0,0,0,5423.0,666.0,-17.0,-52.0
2020-06-16,378.0,-50.0,53.0,-51.0,19.0,2020.0,6.0,1,0,5132.0,632.0,-17.0,-52.0
2020-06-17,357.0,-52.0,34.0,-52.0,19.0,2020.0,6.0,2,0,5045.0,562.0,-20.0,-52.0
2020-06-18,352.0,-54.0,8.0,-56.0,20.0,2020.0,6.0,3,0,4898.0,472.0,-14.0,-52.0
2020-06-19,330.0,-53.0,20.0,-52.0,19.0,2020.0,6.0,4,0,4866.0,406.0,-13.0,-51.0
2020-06-20,346.0,-57.0,49.0,-43.0,9.0,2020.0,6.0,5,1,4829.0,405.0,-14.0,-24.0
2020-06-21,310.0,-58.0,37.0,-44.0,7.0,2020.0,6.0,6,1,4825.0,410.0,-15.0,-19.0
2020-06-22,340.0,-45.0,72.0,-49.0,17.0,2020.0,6.0,0,0,4687.0,487.0,-11.0,-50.0
2020-06-23,311.0,-48.0,90.0,-48.0,17.0,2020.0,6.0,1,0,4530.0,506.0,-10.0,-50.0
2020-06-24,316.0,-49.0,98.0,-47.0,17.0,2020.0,6.0,2,0,4389.0,442.0,-17.0,-50.0
2020-06-25,276.0,-49.0,102.0,-47.0,17.0,2020.0,6.0,3,0,4225.0,392.0,-13.0,-52.0
2020-06-26,268.0,-51.0,50.0,-48.0,18.0,2020.0,6.0,4,0,4192.0,385.0,-10.0,-50.0
2020-06-27,270.0,-59.0,-7.0,-49.0,11.0,2020.0,6.0,5,1,4251.0,364.0,-8.0,-20.0
2020-06-28,270.0,-56.0,22.0,-46.0,8.0,2020.0,6.0,6,1,4103.0,439.0,-6.0,-14.0
2020-06-29,262.0,-45.0,22.0,-50.0,17.0,2020.0,6.0,0,0,4003.0,454.0,-9.0,-51.0
2020-06-30,279.0,-45.0,34.0,-50.0,17.0,2020.0,6.0,1,0,3820.0,430.0,-15.0,-51.0
2020-07-01,259.0,-47.0,34.0,-49.0,17.0,2020.0,7.0,2,0,3596.0,401.0,-19.0,-49.0
2020-07-02,239.0,-47.0,39.0,-49.0,17.0,2020.0,7.0,3,0,3523.0,337.0,-14.0,-49.0
2020-07-03,231.0,-49.0,20.0,-49.0,18.0,2020.0,7.0,4,0,3535.0,254.0,-12.0,-49.0
2020-07-04,221.0,-51.0,13.0,-41.0,8.0,2020.0,7.0,5,1,3728.0,285.0,-13.0,-24.0
2020-07-05,217.0,-48.0,53.0,-37.0,6.0,2020.0,7.0,6,1,3361.0,391.0,-11.0,-17.0
2020-07-06,209.0,-36.0,76.0,-43.0,14.0,2020.0,7.0,0,0,3176.0,359.0,-12.0,-49.0
2020-07-07,197.0,-40.0,52.0,-45.0,16.0,2020.0,7.0,1,0,3058.0,366.0,-15.0,-48.0
2020-07-08,185.0,-42.0,29.0,-47.0,16.0,2020.0,7.0,2,0,2924.0,322.0,-18.0,-48.0
2020-07-09,188.0,-42.0,38.0,-46.0,16.0,2020.0,7.0,3,0,2782.0,337.0,-11.0,-48.0
2020-07-10,191.0,-41.0,67.0,-40.0,14.0,2020.0,7.0,4,0,2721.0,286.0,-12.0,-47.0
2020-07-11,168.0,-47.0,69.0,-32.0,6.0,2020.0,7.0,5,1,2678.0,207.0,-14.0,-18.0
2020-07-12,159.0,-43.0,103.0,-27.0,3.0,2020.0,7.0,6,1,2576.0,219.0,-12.0,-14.0
2020-07-13,162.0,-35.0,71.0,-42.0,14.0,2020.0,7.0,0,0,2432.0,294.0,-10.0,-48.0
2020-07-14,145.0,-36.0,73.0,-43.0,15.0,2020.0,7.0,1,0,2323.0,270.0,-12.0,-48.0
2020-07-15,153.0,-33.0,52.0,-47.0,15.0,2020.0,7.0,2,0,2224.0,214.0,-15.0,-47.0
2020-07-16,142.0,-31.0,85.0,-45.0,14.0,2020.0,7.0,3,0,2098.0,213.0,-11.0,-47.0
2020-07-17,143.0,-33.0,93.0,-41.0,13.0,2020.0,7.0,4,0,2082.0,199.0,-11.0,-46.0
2020-07-18,137.0,-40.0,61.0,-35.0,5.0,2020.0,7.0,5,1,2096.0,195.0,-13.0,-14.0
2020-07-19,131.0,-35.0,78.0,-32.0,3.0,2020.0,7.0,6,1,1977.0,202.0,-10.0,-10.0
2020-07-20,129.0,-25.0,114.0,-42.0,13.0,2020.0,7.0,0,0,1957.0,214.0,-10.0,-48.0
2020-07-21,137.0,-28.0,116.0,-43.0,13.0,2020.0,7.0,1,0,1814.0,205.0,-13.0,-48.0
2020-07-22,110.0,-29.0,89.0,-44.0,14.0,2020.0,7.0,2,0,1791.0,211.0,-16.0,-46.0
2020-07-23,111.0,-30.0,81.0,-45.0,14.0,2020.0,7.0,3,0,1760.0,175.0,-9.0,-45.0
2020-07-24,104.0,-32.0,95.0,-40.0,13.0,2020.0,7.0,4,0,1725.0,176.0,-10.0,-44.0
2020-07-25,93.0,-40.0,25.0,-37.0,6.0,2020.0,7.0,5,1,1715.0,114.0,-11.0,-14.0
2020-07-26,92.0,-33.0,78.0,-30.0,3.0,2020.0,7.0,6,1,1617.0,189.0,-9.0,-10.0
2020-07-27,97.0,-29.0,40.0,-46.0,14.0,2020.0,7.0,0,0,1732.0,186.0,-12.0,-48.0
2020-07-28,93.0,-26.0,100.0,-42.0,14.0,2020.0,7.0,1,0,1522.0,167.0,-16.0,-48.0
2020-07-29,87.0,-25.0,107.0,-41.0,13.0,2020.0,7.0,2,0,1435.0,166.0,-17.0,-46.0
2020-07-30,84.0,-23.0,120.0,-41.0,13.0,2020.0,7.0,3,0,1384.0,144.0,-14.0,-47.0
2020-07-31,86.0,-29.0,120.0,-37.0,11.0,2020.0,7.0,4,0,1366.0,103.0,-10.0,-46.0
2020-08-01,92.0,-36.0,72.0,-30.0,4.0,2020.0,8.0,5,1,1353.0,125.0,-10.0,-15.0
2020-08-02,85.0,-28.0,93.0,-27.0,2.0,2020.0,8.0,6,1,1352.0,129.0,-7.0,-9.0
2020-08-03,77.0,-15.0,115.0,-39.0,11.0,2020.0,8.0,0,0,1332.0,125.0,-11.0,-51.0
2020-08-04,76.0,-19.0,89.0,-42.0,13.0,2020.0,8.0,1,0,1298.0,157.0,-14.0,-48.0
2020-08-05,73.0,-16.0,86.0,-43.0,13.0,2020.0,8.0,2,0,1249.0,198.0,-15.0,-48.0
2020-08-06,69.0,-23.0,120.0,-42.0,12.0,2020.0,8.0,3,0,1272.0,156.0,-11.0,-48.0
2020-08-07,67.0,-28.0,114.0,-39.0,11.0,2020.0,8.0,4,0,1235.0,119.0,-13.0,-48.0
2020-08-08,62.0,-35.0,92.0,-31.0,3.0,2020.0,8.0,5,1,1234.0,109.0,-13.0,-14.0
2020-08-09,65.0,-28.0,103.0,-27.0,1.0,2020.0,8.0,6,1,1198.0,128.0,-10.0,-9.0
2020-08-10,70.0,-11.0,118.0,-40.0,11.0,2020.0,8.0,0,0,1184.0,118.0,-12.0,-49.0
2020-08-11,73.0,-13.0,118.0,-41.0,12.0,2020.0,8.0,1,0,1137.0,130.0,-14.0,-49.0
2020-08-12,80.0,-14.0,100.0,-42.0,12.0,2020.0,8.0,2,0,1078.0,132.0,-15.0,-48.0
2020-08-13,75.0,-24.0,89.0,-43.0,13.0,2020.0,8.0,3,0,1010.0,112.0,-11.0,-48.0
2020-08-14,73.0,-26.0,76.0,-39.0,12.0,2020.0,8.0,4,0,965.0,127.0,-11.0,-48.0
2020-08-15,76.0,-33.0,50.0,-33.0,4.0,2020.0,8.0,5,1,1070.0,92.0,-11.0,-13.0
2020-08-16,78.0,-29.0,52.0,-32.0,3.0,2020.0,8.0,6,1,1021.0,108.0,-10.0,-8.0
2020-08-17,73.0,-9.0,80.0,-41.0,11.0,2020.0,8.0,0,0,986.0,124.0,-12.0,-48.0
2020-08-18,73.0,-11.0,93.0,-41.0,12.0,2020.0,8.0,1,0,989.0,139.0,-15.0,-48.0
2020-08-19,70.0,-15.0,39.0,-44.0,13.0,2020.0,8.0,2,0,977.0,98.0,-18.0,-47.0
