,true_value,predicted_value
2020-07-12,32.0,73.60817
2020-07-15,41.0,63.673088
2020-07-18,31.0,70.43673
2020-07-21,31.0,73.21583
2020-07-24,19.0,54.49433
2020-07-27,18.0,43.69011
2020-07-30,17.0,42.86084
2020-08-02,17.0,30.584291
2020-08-05,13.0,35.85931
2020-08-08,22.0,31.771152
2020-08-11,20.0,35.50987
2020-08-14,18.0,47.43551
2020-08-17,21.0,32.724964
2020-08-20,16.0,56.14583
2020-08-23,17.0,49.337093
2020-08-26,16.0,25.957422
2020-08-29,8.0,20.920221
2020-09-01,11.0,25.117136
2020-09-04,15.0,27.143976
2020-09-07,24.0,41.032433
2020-09-10,16.0,20.728443
2020-09-13,20.0,28.430109
2020-09-16,31.0,16.618977
2020-09-19,25.0,16.750084
2020-09-22,39.0,23.834715
2020-09-25,40.0,26.79596
2020-09-28,55.0,40.078747
2020-10-01,71.0,50.238968
2020-10-04,63.0,56.305187
2020-10-07,110.0,75.94493
2020-10-10,107.0,99.02746
2020-10-13,119.0,87.35269
2020-10-16,162.0,116.09662
2020-10-19,193.0,158.50082
2020-10-22,242.0,147.61356
2020-10-25,255.0,175.91226
2020-10-28,281.0,161.69124
2020-10-31,340.0,163.76161
2020-11-03,377.0,164.6506
2020-11-06,417.0,210.63145
2020-11-09,491.0,226.97523
2020-11-12,430.0,240.83
2020-11-15,456.0,312.9859
2020-11-18,514.0,345.8253
2020-11-21,498.0,404.9471
2020-11-24,496.0,431.62814
2020-11-27,459.0,424.0364
2020-11-30,465.0,393.33368
2020-12-03,503.0,449.61987
2020-12-06,436.0,435.16394
2020-12-09,448.0,466.63168
2020-12-12,488.0,437.39975
2020-12-15,506.0,462.2587
2020-12-18,586.0,458.00153
2020-12-21,601.0,458.068
2020-12-24,616.0,478.22095
2020-12-27,717.0,463.22055
2020-12-30,760.0,442.3915
2021-01-02,832.0,509.45364
2021-01-05,973.0,565.8512
2021-01-08,1052.0,566.1109
2021-01-11,1244.0,588.41547
2021-01-14,1341.0,680.20197
2021-01-17,1360.0,773.46814
2021-01-20,1382.0,899.206
2021-01-23,1287.0,967.206
2021-01-26,1172.0,1172.6129
2021-01-29,1156.0,1254.3508
2021-02-01,1003.0,1219.1975
2021-02-04,826.0,1090.981
2021-02-07,752.0,1044.5958
2021-02-10,711.0,927.1129
2021-02-13,586.0,827.27966
2021-02-16,568.0,681.9437
2021-02-19,469.0,608.0499
2021-02-22,378.0,557.4002
2021-02-25,355.0,454.5374
2021-02-28,280.0,430.86832
2021-03-03,218.0,377.71927
2021-03-06,209.0,267.75906
2021-03-09,184.0,252.17708
2021-03-12,135.0,236.33798
2021-03-15,139.0,221.4823
2021-03-18,100.0,173.59848
2021-03-21,127.0,147.08229
2021-03-24,70.0,105.64787
2021-03-27,65.0,72.7914
2021-03-30,56.0,74.37698
2021-04-02,50.0,44.738194
2021-04-05,45.0,78.07587
2021-04-08,61.0,54.966072
2021-04-11,41.0,50.366684
2021-04-14,35.0,52.828373
2021-04-17,42.0,33.920437
2021-04-20,35.0,48.11283
2021-04-23,29.0,38.689396
2021-04-26,21.0,34.534733
2021-04-29,17.0,35.15292
2021-05-02,19.0,38.82621
2021-05-05,22.0,34.258358
2021-05-08,20.0,26.915432
2021-05-11,21.0,32.087063
2021-05-14,14.0,19.908846
2021-05-17,13.0,23.395098
2021-05-20,7.0,30.364841
2021-05-23,16.0,62.30044
2021-05-26,14.0,44.212025
2021-05-29,12.0,65.13145
2021-06-01,10.0,14.193149
2021-06-04,14.0,20.020584
2021-06-07,6.0,20.99878
2021-06-10,16.0,12.478172
2021-06-13,12.0,10.178858
2021-06-16,16.0,19.030935
2021-06-19,20.0,36.620007
2021-06-22,18.0,32.150787
2021-06-25,22.0,52.646957
2021-06-28,18.0,82.669266
2021-07-01,28.0,48.18677
2021-07-04,30.0,65.356255
2021-07-07,35.0,76.22316
2021-07-10,45.0,69.51722
2021-07-13,50.0,114.05855
2021-07-16,55.0,120.67573
2021-07-19,87.0,117.9806
