,true_value,predicted_value
2020-07-05,52.0,76.79301
2020-07-08,47.0,58.681038
2020-07-11,38.0,59.805393
2020-07-14,42.0,61.532246
2020-07-17,34.0,54.366398
2020-07-20,31.0,47.91622
2020-07-23,36.0,32.610077
2020-07-26,32.0,34.387512
2020-07-29,28.0,24.548874
2020-08-01,20.0,31.05925
2020-08-04,27.0,33.416523
2020-08-07,24.0,28.1388
2020-08-10,25.0,21.145658
2020-08-13,23.0,51.361267
2020-08-16,15.0,47.96339
2020-08-19,13.0,25.655699
2020-08-22,12.0,24.696135
2020-08-25,22.0,21.841555
2020-08-28,12.0,21.57413
2020-08-31,18.0,30.386938
2020-09-03,9.0,21.500687
2020-09-06,13.0,24.278603
2020-09-09,14.0,13.490766
2020-09-12,23.0,12.480681
2020-09-15,26.0,20.739082
2020-09-18,30.0,24.470083
2020-09-21,30.0,23.473654
2020-09-24,34.0,44.090794
2020-09-27,56.0,34.43478
2020-09-30,61.0,40.549946
2020-10-03,70.0,72.71949
2020-10-06,84.0,71.04721
2020-10-09,96.0,68.50523
2020-10-12,120.0,85.4242
2020-10-15,152.0,117.07394
2020-10-18,167.0,136.51105
2020-10-21,232.0,166.5601
2020-10-24,219.0,164.08307
2020-10-27,285.0,171.35518
2020-10-30,352.0,213.6346
2020-11-02,338.0,249.19055
2020-11-05,387.0,256.76056
2020-11-08,432.0,326.87546
2020-11-11,409.0,349.26178
2020-11-14,459.0,413.29428
2020-11-17,466.0,444.91855
2020-11-20,485.0,440.3424
2020-11-23,507.0,431.4014
2020-11-26,461.0,469.17755
2020-11-29,501.0,427.40244
2020-12-02,414.0,463.9276
2020-12-05,407.0,425.96704
2020-12-08,472.0,444.66797
2020-12-11,491.0,462.68707
2020-12-14,506.0,466.7467
2020-12-17,567.0,474.46265
2020-12-20,550.0,465.00995
2020-12-23,629.0,488.00916
2020-12-26,691.0,536.7106
2020-12-29,712.0,575.87885
2021-01-01,807.0,589.42267
2021-01-04,896.0,625.301
2021-01-07,1053.0,686.9537
2021-01-10,1172.0,778.5919
2021-01-13,1306.0,920.58
2021-01-16,1415.0,1013.21387
2021-01-19,1487.0,1252.2765
2021-01-22,1334.0,1274.6567
2021-01-25,1262.0,1382.8002
2021-01-28,1224.0,1289.1527
2021-01-31,994.0,1233.2963
2021-02-03,976.0,1203.2646
2021-02-06,787.0,1078.6964
2021-02-09,721.0,883.33136
2021-02-12,635.0,636.0046
2021-02-15,614.0,709.3868
2021-02-18,521.0,643.4095
2021-02-21,411.0,531.3688
2021-02-24,366.0,473.86166
2021-02-27,308.0,340.59015
2021-03-02,243.0,367.76935
2021-03-05,222.0,261.06393
2021-03-08,197.0,167.63219
2021-03-11,173.0,235.17151
2021-03-14,138.0,199.01073
2021-03-17,127.0,266.43295
2021-03-20,101.0,107.671326
2021-03-23,95.0,101.40416
2021-03-26,75.0,112.79248
2021-03-29,71.0,84.73984
2021-04-01,63.0,75.57688
2021-04-04,53.0,53.260998
2021-04-07,46.0,43.134224
2021-04-10,43.0,38.37667
2021-04-13,47.0,63.090313
2021-04-16,32.0,38.00242
2021-04-19,22.0,35.77321
2021-04-22,33.0,33.82677
2021-04-25,27.0,40.723087
2021-04-28,21.0,49.033756
2021-05-01,16.0,28.454336
2021-05-04,15.0,22.944046
2021-05-07,18.0,28.516209
2021-05-10,8.0,20.593676
2021-05-13,15.0,21.464464
2021-05-16,14.0,48.638023
2021-05-19,4.0,31.609932
2021-05-22,4.0,68.45949
2021-05-25,11.0,16.25871
2021-05-28,14.0,47.802322
2021-05-31,11.0,19.470766
2021-06-03,16.0,15.416354
2021-06-06,13.0,6.6305413
2021-06-09,17.0,12.972737
2021-06-12,12.0,16.695803
2021-06-15,21.0,26.307444
2021-06-18,17.0,37.037804
2021-06-21,13.0,31.08096
2021-06-24,29.0,23.848993
2021-06-27,24.0,42.47831
2021-06-30,26.0,58.17022
2021-07-03,31.0,30.244741
2021-07-06,35.0,65.63919
2021-07-09,53.0,73.96965
2021-07-12,42.0,87.95385
2021-07-15,54.0,95.0772
2021-07-18,72.0,84.13285
2021-07-21,60.0,62.778473
2021-07-24,68.0,128.5547
2021-07-27,76.0,150.55548
2021-07-30,105.0,109.285934
2021-08-02,92.0,123.631294
2021-08-05,101.0,92.35794
2021-08-08,83.0,102.190155
2021-08-11,88.0,91.63406
2021-08-14,103.0,110.23026
2021-08-17,102.0,109.204025
2021-08-20,127.0,112.24411
2021-08-23,120.0,113.26549
2021-08-26,125.0,130.46484
2021-08-29,139.0,153.50246
2021-09-01,125.0,106.07686
