,true_value,predicted_value
2020-07-26,32.0,75.55378
2020-07-29,28.0,64.284164
2020-08-01,20.0,73.23599
2020-08-04,27.0,77.854675
2020-08-07,24.0,53.969837
2020-08-10,25.0,46.210728
2020-08-13,23.0,64.230896
2020-08-16,15.0,48.790493
2020-08-19,13.0,49.70351
2020-08-22,12.0,42.250633
2020-08-25,22.0,37.680206
2020-08-28,12.0,47.907444
2020-08-31,18.0,32.075558
2020-09-03,9.0,53.76276
2020-09-06,13.0,56.307915
2020-09-09,14.0,25.495604
2020-09-12,23.0,19.35544
2020-09-15,26.0,24.99862
2020-09-18,30.0,35.557625
2020-09-21,30.0,46.306755
2020-09-24,34.0,35.382954
2020-09-27,56.0,41.334118
2020-09-30,61.0,26.274157
2020-10-03,70.0,29.828646
2020-10-06,84.0,33.001812
2020-10-09,96.0,71.02758
2020-10-12,120.0,82.87028
2020-10-15,152.0,84.220245
2020-10-18,167.0,143.91318
2020-10-21,232.0,126.32402
2020-10-24,219.0,185.7245
2020-10-27,285.0,151.51242
2020-10-30,352.0,136.32532
2020-11-02,338.0,176.60808
2020-11-05,387.0,147.36565
2020-11-08,432.0,169.02202
2020-11-11,409.0,162.27464
2020-11-14,459.0,162.13925
2020-11-17,466.0,167.00302
2020-11-20,485.0,209.91565
2020-11-23,507.0,227.26439
2020-11-26,461.0,244.88347
2020-11-29,501.0,295.73184
2020-12-02,414.0,356.79526
2020-12-05,407.0,380.36703
2020-12-08,472.0,434.27472
2020-12-11,491.0,427.7608
2020-12-14,506.0,433.04364
2020-12-17,567.0,459.44287
2020-12-20,550.0,466.85693
2020-12-23,629.0,477.84235
2020-12-26,691.0,442.20148
2020-12-29,712.0,462.7051
2021-01-01,807.0,451.95453
2021-01-04,896.0,474.04227
2021-01-07,1053.0,439.9611
2021-01-10,1172.0,475.24326
2021-01-13,1306.0,443.4571
2021-01-16,1415.0,488.31662
2021-01-19,1487.0,541.14594
2021-01-22,1334.0,565.85675
2021-01-25,1262.0,598.3399
2021-01-28,1224.0,666.4928
2021-01-31,994.0,726.3117
2021-02-03,976.0,888.1698
2021-02-06,787.0,906.2212
2021-02-09,721.0,953.6842
2021-02-12,635.0,827.0143
2021-02-15,614.0,701.397
2021-02-18,521.0,673.65533
2021-02-21,411.0,675.71643
2021-02-24,366.0,597.79974
2021-02-27,308.0,387.5397
2021-03-02,243.0,439.47363
2021-03-05,222.0,385.83447
2021-03-08,197.0,352.41437
2021-03-11,173.0,295.11017
2021-03-14,138.0,301.99933
2021-03-17,127.0,195.91089
2021-03-20,101.0,213.84761
2021-03-23,95.0,141.16466
2021-03-26,75.0,122.29873
2021-03-29,71.0,111.41905
2021-04-01,63.0,90.81195
2021-04-04,53.0,83.82077
2021-04-07,46.0,58.01675
2021-04-10,43.0,36.42772
2021-04-13,47.0,54.67048
2021-04-16,32.0,43.83075
2021-04-19,22.0,71.02836
2021-04-22,33.0,33.09686
2021-04-25,27.0,37.954082
2021-04-28,21.0,60.591232
2021-05-01,16.0,28.821478
2021-05-04,15.0,49.98174
2021-05-07,18.0,39.968163
2021-05-10,8.0,28.732288
2021-05-13,15.0,35.921436
2021-05-16,14.0,43.664
2021-05-19,4.0,48.412926
2021-05-22,4.0,25.193972
2021-05-25,11.0,34.210285
2021-05-28,14.0,25.54864
2021-05-31,11.0,22.935358
2021-06-03,16.0,25.188936
2021-06-06,13.0,39.499645
2021-06-09,17.0,55.403923
2021-06-12,12.0,79.99191
2021-06-15,21.0,25.895506
2021-06-18,17.0,55.241447
2021-06-21,13.0,35.6688
2021-06-24,29.0,35.58535
2021-06-27,24.0,53.518238
2021-06-30,26.0,54.33283
2021-07-03,31.0,77.62968
2021-07-06,35.0,90.66689
2021-07-09,53.0,78.13023
2021-07-12,42.0,139.71521
2021-07-15,54.0,109.79404
2021-07-18,72.0,142.57872
2021-07-21,60.0,132.52998
2021-07-24,68.0,113.41434
2021-07-27,76.0,152.99506
2021-07-30,105.0,180.59367
2021-08-02,92.0,182.2134
2021-08-05,101.0,161.67091
2021-08-08,83.0,121.703094
2021-08-11,88.0,121.12315
2021-08-14,103.0,159.26447
2021-08-17,102.0,126.47015
2021-08-20,127.0,114.22041
2021-08-23,120.0,127.00367
2021-08-26,125.0,86.75486
2021-08-29,139.0,166.31535
2021-09-01,125.0,185.21774
2021-09-04,145.0,191.60825
2021-09-07,165.0,182.50046
2021-09-10,150.0,180.52647
2021-09-13,118.0,166.27068
2021-09-16,162.0,146.57585
2021-09-19,137.0,134.36563
2021-09-22,158.0,120.8917
2021-09-25,127.0,113.34868
2021-09-28,121.0,117.03808
2021-10-01,139.0,114.72752
2021-10-04,113.0,134.08676
2021-10-07,133.0,102.703064
2021-10-10,114.0,136.87492
2021-10-13,137.0,137.63405
2021-10-16,150.0,136.46097
2021-10-19,142.0,169.70679
2021-10-22,150.0,167.26959
2021-10-25,149.0,168.9095
2021-10-28,199.0,178.36177
2021-10-31,195.0,181.23189
2021-11-03,184.0,298.6292
2021-11-06,170.0,252.00331
2021-11-09,157.0,257.8212
2021-11-12,145.0,265.3468
2021-11-15,171.0,158.09033
2021-11-18,131.0,208.57591
2021-11-21,121.0,136.2248
2021-11-24,123.0,195.49297
2021-11-27,124.0,199.39075
2021-11-30,122.0,184.11583
2021-12-03,147.0,206.68376
2021-12-06,143.0,146.62296
2021-12-09,132.0,171.9403
2021-12-12,137.0,169.51363
2021-12-15,119.0,171.89973
2021-12-18,107.0,161.88272
2021-12-21,111.0,157.35097
2021-12-24,117.0,211.844
2021-12-27,133.0,332.7695
