date,covidOccupiedMVBeds,hospitalCases,newAdmissions,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,year,month,day,weekend
2021-08-22,963.0,6562.0,829.0,-10.0,-1.0,72.0,-17.0,-2.0,0.0,2021.0,8.0,6,1
2021-08-23,942.0,6842.0,966.0,0.0,7.0,118.0,-31.0,-41.0,8.0,2021.0,8.0,0,0
2021-08-24,957.0,6774.0,984.0,-2.0,7.0,117.0,-32.0,-40.0,8.0,2021.0,8.0,1,0
2021-08-25,974.0,6813.0,1032.0,-1.0,8.0,109.0,-32.0,-40.0,8.0,2021.0,8.0,2,0
2021-08-26,982.0,6848.0,945.0,-1.0,9.0,109.0,-31.0,-40.0,8.0,2021.0,8.0,3,0
2021-08-27,988.0,6903.0,938.0,-5.0,9.0,98.0,-26.0,-40.0,7.0,2021.0,8.0,4,0
2021-08-28,953.0,6797.0,857.0,-14.0,1.0,82.0,-15.0,-8.0,0.0,2021.0,8.0,5,1
2021-08-29,971.0,6921.0,847.0,-2.0,0.0,98.0,-12.0,-3.0,-1.0,2021.0,8.0,6,1
2021-08-30,984.0,7144.0,987.0,1.0,-3.0,124.0,-41.0,-70.0,14.0,2021.0,8.0,0,0
2021-08-31,1014.0,7489.0,989.0,-3.0,12.0,72.0,-33.0,-40.0,9.0,2021.0,8.0,1,0
2021-09-01,1030.0,7482.0,1066.0,-4.0,9.0,69.0,-33.0,-36.0,9.0,2021.0,9.0,2,0
2021-09-02,1038.0,7423.0,986.0,-5.0,9.0,77.0,-32.0,-35.0,8.0,2021.0,9.0,3,0
2021-09-03,1034.0,7480.0,920.0,-8.0,7.0,70.0,-27.0,-33.0,7.0,2021.0,9.0,4,0
2021-09-04,1019.0,7359.0,942.0,-13.0,2.0,59.0,-19.0,-5.0,1.0,2021.0,9.0,5,1
2021-09-05,1018.0,7556.0,872.0,-5.0,3.0,89.0,-15.0,-1.0,0.0,2021.0,9.0,6,1
2021-09-06,1062.0,7844.0,1069.0,-3.0,10.0,87.0,-27.0,-33.0,7.0,2021.0,9.0,0,0
2021-09-07,1047.0,7781.0,1083.0,-6.0,10.0,98.0,-28.0,-32.0,7.0,2021.0,9.0,1,0
2021-09-08,1060.0,7943.0,1156.0,-6.0,9.0,83.0,-28.0,-31.0,7.0,2021.0,9.0,2,0
2021-09-09,1051.0,7962.0,1033.0,-10.0,8.0,56.0,-29.0,-31.0,7.0,2021.0,9.0,3,0
2021-09-10,1056.0,8134.0,920.0,-10.0,7.0,54.0,-24.0,-29.0,6.0,2021.0,9.0,4,0
2021-09-11,1027.0,7962.0,845.0,-12.0,3.0,61.0,-16.0,-5.0,1.0,2021.0,9.0,5,1
2021-09-12,1055.0,8064.0,860.0,-7.0,3.0,70.0,-16.0,-2.0,0.0,2021.0,9.0,6,1
2021-09-13,1056.0,8278.0,930.0,-6.0,8.0,64.0,-26.0,-32.0,7.0,2021.0,9.0,0,0
2021-09-14,1060.0,8202.0,933.0,-12.0,5.0,42.0,-29.0,-33.0,8.0,2021.0,9.0,1,0
2021-09-15,1081.0,8202.0,938.0,-6.0,9.0,67.0,-27.0,-31.0,7.0,2021.0,9.0,2,0
2021-09-16,1020.0,7923.0,882.0,-7.0,8.0,79.0,-27.0,-32.0,6.0,2021.0,9.0,3,0
2021-09-17,1011.0,7713.0,743.0,-9.0,7.0,62.0,-24.0,-32.0,6.0,2021.0,9.0,4,0
2021-09-18,1004.0,7500.0,743.0,-12.0,2.0,65.0,-16.0,-7.0,0.0,2021.0,9.0,5,1
2021-09-19,1006.0,7548.0,722.0,-9.0,1.0,49.0,-18.0,-5.0,1.0,2021.0,9.0,6,1
2021-09-20,982.0,7606.0,808.0,-6.0,8.0,70.0,-27.0,-33.0,6.0,2021.0,9.0,0,0
2021-09-21,943.0,7423.0,791.0,-8.0,8.0,71.0,-28.0,-32.0,7.0,2021.0,9.0,1,0
2021-09-22,939.0,7221.0,741.0,-7.0,7.0,61.0,-27.0,-29.0,7.0,2021.0,9.0,2,0
2021-09-23,916.0,6982.0,771.0,-8.0,8.0,59.0,-28.0,-29.0,7.0,2021.0,9.0,3,0
2021-09-24,878.0,6733.0,715.0,-7.0,11.0,61.0,-22.0,-30.0,5.0,2021.0,9.0,4,0
2021-09-25,874.0,6775.0,666.0,-13.0,2.0,46.0,-14.0,-7.0,1.0,2021.0,9.0,5,1
2021-09-26,839.0,6638.0,663.0,-9.0,2.0,60.0,-13.0,-4.0,1.0,2021.0,9.0,6,1
2021-09-27,831.0,6872.0,774.0,-11.0,7.0,34.0,-27.0,-32.0,8.0,2021.0,9.0,0,0
2021-09-28,826.0,6855.0,777.0,-14.0,5.0,20.0,-29.0,-32.0,8.0,2021.0,9.0,1,0
2021-09-29,813.0,6750.0,799.0,-10.0,7.0,35.0,-29.0,-31.0,7.0,2021.0,9.0,2,0
2021-09-30,815.0,6600.0,687.0,-11.0,6.0,15.0,-30.0,-31.0,8.0,2021.0,9.0,3,0
2021-10-01,805.0,6444.0,689.0,-10.0,6.0,27.0,-26.0,-30.0,7.0,2021.0,10.0,4,0
2021-10-02,764.0,6300.0,692.0,-18.0,-3.0,-13.0,-25.0,-10.0,3.0,2021.0,10.0,5,1
2021-10-03,778.0,6451.0,712.0,-8.0,1.0,30.0,-19.0,-5.0,2.0,2021.0,10.0,6,1
2021-10-04,769.0,6646.0,807.0,-10.0,4.0,29.0,-30.0,-32.0,7.0,2021.0,10.0,0,0
2021-10-05,800.0,6723.0,830.0,-14.0,3.0,18.0,-32.0,-32.0,8.0,2021.0,10.0,1,0
2021-10-06,807.0,6700.0,773.0,-9.0,5.0,38.0,-30.0,-30.0,7.0,2021.0,10.0,2,0
2021-10-07,808.0,6650.0,821.0,-10.0,5.0,35.0,-30.0,-30.0,7.0,2021.0,10.0,3,0
2021-10-08,780.0,6647.0,791.0,-10.0,5.0,37.0,-26.0,-29.0,6.0,2021.0,10.0,4,0
2021-10-09,768.0,6583.0,757.0,-11.0,1.0,37.0,-19.0,-7.0,1.0,2021.0,10.0,5,1
2021-10-10,744.0,6746.0,727.0,-8.0,-1.0,48.0,-19.0,-5.0,1.0,2021.0,10.0,6,1
2021-10-11,747.0,6890.0,835.0,-8.0,5.0,45.0,-29.0,-31.0,7.0,2021.0,10.0,0,0
2021-10-12,780.0,6910.0,929.0,-12.0,5.0,33.0,-30.0,-30.0,7.0,2021.0,10.0,1,0
2021-10-13,781.0,6910.0,910.0,-10.0,4.0,33.0,-30.0,-30.0,7.0,2021.0,10.0,2,0
2021-10-14,783.0,6965.0,898.0,-11.0,5.0,37.0,-30.0,-29.0,7.0,2021.0,10.0,3,0
2021-10-15,791.0,6969.0,946.0,-9.0,6.0,38.0,-26.0,-29.0,6.0,2021.0,10.0,4,0
2021-10-16,805.0,7002.0,880.0,-12.0,0.0,26.0,-21.0,-8.0,2.0,2021.0,10.0,5,1
2021-10-17,819.0,7267.0,962.0,-10.0,-2.0,29.0,-21.0,-6.0,2.0,2021.0,10.0,6,1
2021-10-18,826.0,7636.0,1074.0,-11.0,3.0,22.0,-31.0,-32.0,8.0,2021.0,10.0,0,0
2021-10-19,851.0,7788.0,1098.0,-13.0,3.0,21.0,-31.0,-31.0,8.0,2021.0,10.0,1,0
2021-10-20,872.0,8035.0,1093.0,-11.0,3.0,19.0,-31.0,-31.0,8.0,2021.0,10.0,2,0
2021-10-21,892.0,8132.0,972.0,-9.0,6.0,37.0,-30.0,-30.0,7.0,2021.0,10.0,3,0
2021-10-22,889.0,8123.0,939.0,-10.0,5.0,29.0,-26.0,-31.0,7.0,2021.0,10.0,4,0
2021-10-23,869.0,8121.0,904.0,-13.0,1.0,23.0,-19.0,-9.0,2.0,2021.0,10.0,5,1
2021-10-24,885.0,8277.0,956.0,-9.0,-2.0,31.0,-19.0,-7.0,2.0,2021.0,10.0,6,1
2021-10-25,913.0,8595.0,1054.0,-1.0,6.0,61.0,-30.0,-40.0,8.0,2021.0,10.0,0,0
2021-10-26,952.0,8714.0,1103.0,-4.0,6.0,50.0,-31.0,-39.0,9.0,2021.0,10.0,1,0
2021-10-27,945.0,8827.0,1156.0,-2.0,5.0,46.0,-31.0,-39.0,9.0,2021.0,10.0,2,0
2021-10-28,944.0,8900.0,1071.0,-2.0,7.0,49.0,-30.0,-39.0,8.0,2021.0,10.0,3,0
2021-10-29,962.0,8986.0,1012.0,-6.0,6.0,26.0,-28.0,-39.0,8.0,2021.0,10.0,4,0
2021-10-30,968.0,9025.0,885.0,-12.0,3.0,14.0,-19.0,-10.0,1.0,2021.0,10.0,5,1
2021-10-31,980.0,9179.0,1006.0,-13.0,1.0,-4.0,-21.0,-7.0,2.0,2021.0,10.0,6,1
2021-11-01,1030.0,9423.0,1082.0,-10.0,4.0,17.0,-30.0,-31.0,8.0,2021.0,11.0,0,0
2021-11-02,1024.0,9409.0,1072.0,-10.0,6.0,24.0,-29.0,-29.0,7.0,2021.0,11.0,1,0
2021-11-03,1019.0,9197.0,969.0,-10.0,5.0,13.0,-30.0,-28.0,8.0,2021.0,11.0,2,0
2021-11-04,1034.0,9049.0,871.0,-10.0,7.0,21.0,-29.0,-28.0,7.0,2021.0,11.0,3,0
2021-11-05,1026.0,8834.0,842.0,-10.0,7.0,34.0,-26.0,-28.0,7.0,2021.0,11.0,4,0
2021-11-06,1018.0,8592.0,821.0,-14.0,0.0,12.0,-21.0,-9.0,3.0,2021.0,11.0,5,1
2021-11-07,1012.0,8616.0,885.0,-7.0,1.0,27.0,-18.0,-6.0,1.0,2021.0,11.0,6,1
2021-11-08,1026.0,8769.0,1001.0,-10.0,5.0,17.0,-29.0,-29.0,7.0,2021.0,11.0,0,0
2021-11-09,1023.0,8713.0,974.0,-11.0,6.0,19.0,-30.0,-28.0,7.0,2021.0,11.0,1,0
2021-11-10,1008.0,8641.0,978.0,-11.0,5.0,9.0,-30.0,-27.0,8.0,2021.0,11.0,2,0
2021-11-11,999.0,8498.0,954.0,-10.0,6.0,21.0,-29.0,-27.0,7.0,2021.0,11.0,3,0
2021-11-12,989.0,8397.0,877.0,-11.0,5.0,6.0,-27.0,-28.0,7.0,2021.0,11.0,4,0
2021-11-13,974.0,8256.0,771.0,-11.0,2.0,16.0,-20.0,-8.0,2.0,2021.0,11.0,5,1
2021-11-14,979.0,8344.0,804.0,-7.0,1.0,27.0,-18.0,-6.0,1.0,2021.0,11.0,6,1
2021-11-15,968.0,8514.0,834.0,-9.0,6.0,18.0,-29.0,-29.0,7.0,2021.0,11.0,0,0
2021-11-16,938.0,8237.0,887.0,-11.0,5.0,14.0,-29.0,-28.0,7.0,2021.0,11.0,1,0
2021-11-17,935.0,8002.0,853.0,-9.0,5.0,16.0,-29.0,-27.0,7.0,2021.0,11.0,2,0
2021-11-18,923.0,7911.0,838.0,-9.0,7.0,18.0,-29.0,-27.0,7.0,2021.0,11.0,3,0
2021-11-19,911.0,7870.0,773.0,-8.0,7.0,19.0,-25.0,-27.0,7.0,2021.0,11.0,4,0
2021-11-20,908.0,7754.0,723.0,-10.0,1.0,11.0,-18.0,-8.0,2.0,2021.0,11.0,5,1
2021-11-21,913.0,7847.0,754.0,-6.0,0.0,20.0,-18.0,-6.0,1.0,2021.0,11.0,6,1
2021-11-22,928.0,7945.0,733.0,-8.0,6.0,18.0,-29.0,-29.0,7.0,2021.0,11.0,0,0
2021-11-23,919.0,7731.0,775.0,-10.0,6.0,15.0,-29.0,-28.0,7.0,2021.0,11.0,1,0
2021-11-24,928.0,7487.0,902.0,-9.0,5.0,8.0,-29.0,-27.0,8.0,2021.0,11.0,2,0
2021-11-25,925.0,7496.0,777.0,-6.0,8.0,17.0,-28.0,-27.0,7.0,2021.0,11.0,3,0
2021-11-26,925.0,7402.0,732.0,-7.0,6.0,0.0,-26.0,-29.0,7.0,2021.0,11.0,4,0
2021-11-27,911.0,7252.0,713.0,-16.0,-3.0,-20.0,-26.0,-10.0,4.0,2021.0,11.0,5,1
2021-11-28,919.0,7276.0,705.0,-8.0,0.0,3.0,-20.0,-6.0,2.0,2021.0,11.0,6,1
2021-11-29,916.0,7503.0,799.0,-7.0,6.0,4.0,-31.0,-30.0,8.0,2021.0,11.0,0,0
2021-11-30,931.0,7520.0,836.0,-7.0,10.0,5.0,-30.0,-28.0,8.0,2021.0,11.0,1,0
2021-12-01,895.0,7194.0,819.0,-8.0,6.0,0.0,-30.0,-28.0,8.0,2021.0,12.0,2,0
2021-12-02,895.0,7260.0,823.0,-7.0,7.0,11.0,-30.0,-27.0,8.0,2021.0,12.0,3,0
2021-12-03,900.0,7178.0,732.0,-7.0,6.0,5.0,-26.0,-28.0,7.0,2021.0,12.0,4,0
2021-12-04,895.0,7033.0,744.0,-12.0,-1.0,-4.0,-20.0,-8.0,3.0,2021.0,12.0,5,1
2021-12-05,882.0,7129.0,837.0,-7.0,0.0,-1.0,-20.0,-5.0,2.0,2021.0,12.0,6,1
2021-12-06,901.0,7234.0,868.0,-8.0,6.0,-4.0,-32.0,-30.0,8.0,2021.0,12.0,0,0
2021-12-07,880.0,7225.0,938.0,-14.0,2.0,-12.0,-34.0,-28.0,9.0,2021.0,12.0,1,0
2021-12-08,890.0,7248.0,887.0,-8.0,6.0,-4.0,-32.0,-26.0,8.0,2021.0,12.0,2,0
2021-12-09,900.0,7321.0,947.0,-5.0,9.0,10.0,-30.0,-26.0,7.0,2021.0,12.0,3,0
2021-12-10,901.0,7280.0,828.0,-6.0,7.0,5.0,-26.0,-26.0,7.0,2021.0,12.0,4,0
2021-12-11,883.0,7239.0,788.0,-12.0,1.0,-10.0,-20.0,-5.0,2.0,2021.0,12.0,5,1
2021-12-12,893.0,7358.0,862.0,-7.0,1.0,5.0,-20.0,-2.0,2.0,2021.0,12.0,6,1
2021-12-13,900.0,7573.0,916.0,-4.0,11.0,6.0,-33.0,-30.0,8.0,2021.0,12.0,0,0
2021-12-14,896.0,7576.0,948.0,-6.0,12.0,8.0,-34.0,-29.0,9.0,2021.0,12.0,1,0
2021-12-15,888.0,7488.0,939.0,-2.0,13.0,8.0,-33.0,-29.0,9.0,2021.0,12.0,2,0
2021-12-16,875.0,7505.0,909.0,-3.0,14.0,14.0,-34.0,-30.0,9.0,2021.0,12.0,3,0
2021-12-17,879.0,7381.0,864.0,-6.0,10.0,7.0,-32.0,-30.0,9.0,2021.0,12.0,4,0
2021-12-18,855.0,7323.0,835.0,-14.0,4.0,-4.0,-26.0,-6.0,3.0,2021.0,12.0,5,1
2021-12-19,858.0,7474.0,1012.0,-8.0,3.0,0.0,-25.0,-1.0,2.0,2021.0,12.0,6,1
2021-12-20,859.0,7720.0,1215.0,5.0,19.0,14.0,-37.0,-41.0,10.0,2021.0,12.0,0,0
2021-12-21,849.0,7924.0,1245.0,2.0,22.0,15.0,-39.0,-42.0,11.0,2021.0,12.0,1,0
2021-12-22,842.0,8150.0,1407.0,4.0,29.0,5.0,-39.0,-44.0,11.0,2021.0,12.0,2,0
2021-12-23,843.0,8180.0,1402.0,7.0,42.0,8.0,-39.0,-50.0,12.0,2021.0,12.0,3,0
2021-12-24,832.0,8419.0,1188.0,-17.0,20.0,-4.0,-49.0,-62.0,16.0,2021.0,12.0,4,0
2021-12-25,838.0,8210.0,1412.0,-87.0,-88.0,-49.0,-81.0,-64.0,11.0,2021.0,12.0,5,1
2021-12-26,851.0,8615.0,1533.0,-48.0,-50.0,-16.0,-55.0,-35.0,4.0,2021.0,12.0,6,1
2021-12-27,870.0,9621.0,1954.0,-15.0,-17.0,11.0,-54.0,-78.0,18.0,2021.0,12.0,0,0
2021-12-28,851.0,10769.0,2296.0,-14.0,-9.0,18.0,-54.0,-76.0,20.0,2021.0,12.0,1,0
2021-12-29,868.0,11820.0,2635.0,-11.0,2.0,5.0,-50.0,-65.0,18.0,2021.0,12.0,2,0
2021-12-30,875.0,13003.0,2383.0,-11.0,8.0,20.0,-49.0,-64.0,18.0,2021.0,12.0,3,0
2021-12-31,883.0,14026.0,2088.0,-20.0,9.0,22.0,-51.0,-64.0,17.0,2021.0,12.0,4,0
2022-01-01,857.0,14340.0,2065.0,-63.0,-54.0,3.0,-59.0,-49.0,11.0,2022.0,1.0,5,1
2022-01-02,864.0,14961.0,2102.0,-25.0,-12.0,0.0,-39.0,-15.0,6.0,2022.0,1.0,6,1
2022-01-03,878.0,16134.0,2461.0,-15.0,-8.0,32.0,-56.0,-74.0,21.0,2022.0,1.0,0,0
2022-01-04,900.0,17136.0,2397.0,-25.0,0.0,-5.0,-48.0,-42.0,15.0,2022.0,1.0,1,0
2022-01-05,875.0,17842.0,2388.0,-25.0,-1.0,0.0,-46.0,-36.0,14.0,2022.0,1.0,2,0
2022-01-06,868.0,18311.0,2330.0,-30.0,-4.0,-14.0,-47.0,-35.0,14.0,2022.0,1.0,3,0
2022-01-07,840.0,18492.0,2034.0,-28.0,-4.0,-13.0,-44.0,-32.0,13.0,2022.0,1.0,4,0
2022-01-08,820.0,18417.0,2088.0,-32.0,-9.0,-36.0,-44.0,-12.0,8.0,2022.0,1.0,5,1
2022-01-09,816.0,18843.0,2207.0,-22.0,-7.0,13.0,-36.0,-6.0,5.0,2022.0,1.0,6,1
2022-01-10,821.0,19656.0,2453.0,-22.0,-2.0,-1.0,-42.0,-31.0,11.0,2022.0,1.0,0,0
2022-01-11,793.0,19561.0,2412.0,-23.0,-2.0,1.0,-42.0,-31.0,11.0,2022.0,1.0,1,0
2022-01-12,785.0,19529.0,2181.0,-21.0,-1.0,10.0,-41.0,-30.0,11.0,2022.0,1.0,2,0
2022-01-13,777.0,19368.0,2152.0,-22.0,0.0,13.0,-41.0,-30.0,11.0,2022.0,1.0,3,0
2022-01-14,746.0,19165.0,1926.0,-21.0,0.0,7.0,-38.0,-28.0,10.0,2022.0,1.0,4,0
2022-01-15,712.0,18913.0,1780.0,-22.0,-5.0,-4.0,-35.0,-8.0,5.0,2022.0,1.0,5,1
2022-01-16,715.0,19036.0,1935.0,-19.0,-6.0,18.0,-33.0,-5.0,3.0,2022.0,1.0,6,1
2022-01-17,713.0,19267.0,2014.0,-19.0,-1.0,17.0,-39.0,-30.0,9.0,2022.0,1.0,0,0
2022-01-18,703.0,18833.0,2003.0,-22.0,-2.0,8.0,-38.0,-30.0,10.0,2022.0,1.0,1,0
2022-01-19,675.0,18327.0,1971.0,-20.0,-1.0,5.0,-38.0,-29.0,10.0,2022.0,1.0,2,0
2022-01-20,664.0,17824.0,1897.0,-19.0,0.0,13.0,-37.0,-29.0,10.0,2022.0,1.0,3,0
2022-01-21,640.0,17391.0,1665.0,-19.0,0.0,4.0,-35.0,-27.0,9.0,2022.0,1.0,4,0
2022-01-22,625.0,16745.0,1421.0,-19.0,-4.0,4.0,-30.0,-7.0,4.0,2022.0,1.0,5,1
2022-01-23,603.0,16721.0,1690.0,-19.0,-7.0,11.0,-30.0,-5.0,3.0,2022.0,1.0,6,1
2022-01-24,598.0,16993.0,1775.0,-18.0,-2.0,9.0,-36.0,-29.0,9.0,2022.0,1.0,0,0
2022-01-25,575.0,16397.0,1869.0,-20.0,-1.0,6.0,-36.0,-29.0,9.0,2022.0,1.0,1,0
2022-01-26,561.0,16327.0,1868.0,-17.0,-1.0,8.0,-36.0,-29.0,9.0,2022.0,1.0,2,0
2022-01-27,549.0,15983.0,1669.0,-17.0,1.0,15.0,-35.0,-28.0,9.0,2022.0,1.0,3,0
2022-01-28,535.0,15759.0,1507.0,-15.0,1.0,7.0,-32.0,-27.0,9.0,2022.0,1.0,4,0
2022-01-29,527.0,14885.0,1440.0,-16.0,-4.0,1.0,-27.0,-7.0,4.0,2022.0,1.0,5,1
2022-01-30,520.0,15163.0,1415.0,-12.0,-5.0,27.0,-26.0,-4.0,2.0,2022.0,1.0,6,1
2022-01-31,511.0,15514.0,1655.0,-15.0,0.0,9.0,-34.0,-29.0,8.0,2022.0,1.0,0,0
2022-02-01,502.0,15056.0,1744.0,-16.0,1.0,14.0,-33.0,-28.0,8.0,2022.0,2.0,1,0
2022-02-02,483.0,14648.0,1629.0,-15.0,1.0,12.0,-32.0,-27.0,9.0,2022.0,2.0,2,0
2022-02-03,478.0,14459.0,1477.0,-15.0,2.0,14.0,-33.0,-27.0,8.0,2022.0,2.0,3,0
2022-02-04,474.0,14021.0,1398.0,-16.0,1.0,1.0,-31.0,-26.0,8.0,2022.0,2.0,4,0
2022-02-05,458.0,13528.0,1224.0,-17.0,-5.0,-7.0,-26.0,-8.0,4.0,2022.0,2.0,5,1
2022-02-06,441.0,13416.0,1331.0,-17.0,-7.0,-9.0,-28.0,-5.0,3.0,2022.0,2.0,6,1
2022-02-07,443.0,13603.0,1409.0,-15.0,1.0,15.0,-32.0,-28.0,8.0,2022.0,2.0,0,0
2022-02-08,430.0,13360.0,1462.0,-15.0,1.0,16.0,-31.0,-28.0,8.0,2022.0,2.0,1,0
2022-02-09,432.0,12936.0,1411.0,-14.0,1.0,13.0,-31.0,-27.0,8.0,2022.0,2.0,2,0
2022-02-10,430.0,12531.0,1325.0,-14.0,3.0,15.0,-30.0,-27.0,8.0,2022.0,2.0,3,0
2022-02-11,416.0,12108.0,1166.0,-12.0,4.0,18.0,-27.0,-26.0,7.0,2022.0,2.0,4,0
2022-02-12,400.0,11757.0,1133.0,-16.0,-2.0,-2.0,-24.0,-8.0,3.0,2022.0,2.0,5,1
2022-02-13,384.0,11810.0,1183.0,-16.0,-4.0,-21.0,-26.0,-6.0,3.0,2022.0,2.0,6,1
2022-02-14,393.0,12039.0,1336.0,-4.0,9.0,19.0,-31.0,-33.0,8.0,2022.0,2.0,0,0
2022-02-15,354.0,11818.0,1345.0,-15.0,-2.0,4.0,-33.0,-33.0,8.0,2022.0,2.0,1,0
2022-02-16,359.0,11485.0,1372.0,-14.0,-1.0,5.0,-33.0,-32.0,9.0,2022.0,2.0,2,0
2022-02-17,330.0,11323.0,1166.0,-10.0,5.0,24.0,-30.0,-31.0,8.0,2022.0,2.0,3,0
2022-02-18,335.0,10961.0,1093.0,-32.0,-15.0,-27.0,-46.0,-39.0,14.0,2022.0,2.0,4,0
2022-02-19,328.0,10977.0,1009.0,-21.0,-4.0,-17.0,-28.0,-9.0,4.0,2022.0,2.0,5,1
2022-02-20,334.0,10886.0,1117.0,-22.0,-10.0,-26.0,-30.0,-7.0,3.0,2022.0,2.0,6,1
2022-02-21,324.0,11071.0,1220.0,-13.0,1.0,16.0,-34.0,-34.0,9.0,2022.0,2.0,0,0
2022-02-22,312.0,10805.0,1167.0,-11.0,2.0,23.0,-30.0,-32.0,8.0,2022.0,2.0,1,0
2022-02-23,304.0,10757.0,1210.0,-10.0,1.0,19.0,-31.0,-32.0,8.0,2022.0,2.0,2,0
2022-02-24,289.0,10472.0,1200.0,-13.0,0.0,10.0,-32.0,-32.0,8.0,2022.0,2.0,3,0
2022-02-25,271.0,10350.0,1086.0,-9.0,4.0,31.0,-27.0,-31.0,7.0,2022.0,2.0,4,0
2022-02-26,255.0,10077.0,1072.0,-12.0,-2.0,20.0,-20.0,-7.0,1.0,2022.0,2.0,5,1
2022-02-27,271.0,10232.0,1091.0,-8.0,-2.0,42.0,-17.0,-3.0,0.0,2022.0,2.0,6,1
2022-02-28,290.0,10479.0,1393.0,-14.0,3.0,5.0,-31.0,-28.0,7.0,2022.0,2.0,0,0
2022-03-01,278.0,10448.0,1349.0,-17.0,5.0,12.0,-32.0,-27.0,7.0,2022.0,3.0,1,0
2022-03-02,279.0,10366.0,1437.0,-17.0,0.0,-6.0,-32.0,-26.0,8.0,2022.0,3.0,2,0
2022-03-03,264.0,10220.0,1445.0,-16.0,3.0,12.0,-34.0,-27.0,7.0,2022.0,3.0,3,0
2022-03-04,257.0,10422.0,1344.0,-14.0,2.0,7.0,-30.0,-25.0,7.0,2022.0,3.0,4,0
2022-03-05,256.0,10417.0,1232.0,-14.0,-2.0,6.0,-24.0,-7.0,2.0,2022.0,3.0,5,1
2022-03-06,263.0,10565.0,1449.0,-11.0,-3.0,25.0,-22.0,-4.0,1.0,2022.0,3.0,6,1
2022-03-07,269.0,11043.0,1514.0,-15.0,1.0,18.0,-32.0,-27.0,7.0,2022.0,3.0,0,0
2022-03-08,275.0,11367.0,1680.0,-16.0,2.0,17.0,-32.0,-26.0,6.0,2022.0,3.0,1,0
2022-03-09,266.0,11469.0,1804.0,-17.0,0.0,8.0,-33.0,-26.0,7.0,2022.0,3.0,2,0
2022-03-10,253.0,11675.0,1698.0,-16.0,2.0,21.0,-32.0,-25.0,7.0,2022.0,3.0,3,0
2022-03-11,254.0,11857.0,1712.0,-19.0,-1.0,-1.0,-32.0,-26.0,7.0,2022.0,3.0,4,0
2022-03-12,252.0,12161.0,1612.0,-17.0,-3.0,9.0,-26.0,-7.0,2.0,2022.0,3.0,5,1
2022-03-13,257.0,12515.0,1801.0,-16.0,-5.0,9.0,-24.0,-5.0,1.0,2022.0,3.0,6,1
2022-03-14,280.0,13268.0,1970.0,-16.0,1.0,25.0,-32.0,-27.0,7.0,2022.0,3.0,0,0
2022-03-15,281.0,13783.0,2120.0,-17.0,0.0,24.0,-32.0,-26.0,7.0,2022.0,3.0,1,0
2022-03-16,281.0,13965.0,2129.0,-20.0,-3.0,-4.0,-34.0,-26.0,8.0,2022.0,3.0,2,0
2022-03-17,292.0,14404.0,2064.0,-13.0,2.0,31.0,-31.0,-27.0,7.0,2022.0,3.0,3,0
2022-03-18,287.0,14667.0,1960.0,-14.0,1.0,38.0,-29.0,-27.0,6.0,2022.0,3.0,4,0
2022-03-19,277.0,14738.0,2044.0,-16.0,-3.0,36.0,-23.0,-9.0,1.0,2022.0,3.0,5,1
2022-03-20,280.0,15189.0,2029.0,-12.0,-3.0,42.0,-20.0,-6.0,0.0,2022.0,3.0,6,1
2022-03-21,299.0,15980.0,2268.0,-15.0,2.0,31.0,-32.0,-27.0,7.0,2022.0,3.0,0,0
2022-03-22,316.0,16409.0,2416.0,-16.0,2.0,42.0,-31.0,-26.0,6.0,2022.0,3.0,1,0
2022-03-23,302.0,16652.0,2480.0,-13.0,2.0,43.0,-31.0,-26.0,6.0,2022.0,3.0,2,0
2022-03-24,330.0,17119.0,2323.0,-12.0,5.0,48.0,-30.0,-26.0,6.0,2022.0,3.0,3,0
2022-03-25,333.0,17384.0,2226.0,-11.0,7.0,45.0,-28.0,-27.0,5.0,2022.0,3.0,4,0
2022-03-26,345.0,17321.0,2121.0,-12.0,9.0,48.0,-19.0,-8.0,0.0,2022.0,3.0,5,1
2022-03-27,344.0,18037.0,2237.0,-10.0,0.0,45.0,-17.0,-4.0,-1.0,2022.0,3.0,6,1
2022-03-28,363.0,18807.0,2540.0,-14.0,2.0,33.0,-31.0,-28.0,7.0,2022.0,3.0,0,0
2022-03-29,365.0,19052.0,2543.0,-18.0,1.0,16.0,-32.0,-27.0,7.0,2022.0,3.0,1,0
2022-03-30,359.0,19200.0,2668.0,-18.0,0.0,5.0,-34.0,-26.0,7.0,2022.0,3.0,2,0
2022-03-31,356.0,19258.0,2414.0,-16.0,2.0,8.0,-33.0,-26.0,7.0,2022.0,3.0,3,0
2022-04-01,352.0,19605.0,2124.0,-16.0,2.0,11.0,-31.0,-25.0,6.0,2022.0,4.0,4,0
2022-04-02,350.0,19263.0,2073.0,-17.0,-2.0,9.0,-26.0,-8.0,2.0,2022.0,4.0,5,1
2022-04-03,342.0,19616.0,2292.0,-14.0,-3.0,26.0,-21.0,-5.0,1.0,2022.0,4.0,6,1
2022-04-04,351.0,20080.0,2442.0,-17.0,0.0,13.0,-34.0,-31.0,7.0,2022.0,4.0,0,0
2022-04-05,364.0,20089.0,2583.0,-16.0,1.0,23.0,-33.0,-30.0,7.0,2022.0,4.0,1,0
