Horizon (Days),RMSE,MSE,MAE
7,91.80068529187285,8427.365820057481,54.76161271795576
14,131.03846408274572,17171.07906916504,75.03735985351224
21,160.94196058435793,25902.314676737024,94.23587193788198
28,180.3179649161548,32514.568471503633,103.7570014756544
