,true_value,predicted_value
2020-07-26,92.0,265.1493
2020-07-29,87.0,268.1659
2020-08-01,92.0,263.97043
2020-08-04,76.0,255.156
2020-08-07,67.0,211.38742
2020-08-10,70.0,195.96681
2020-08-13,75.0,184.54277
2020-08-16,78.0,171.85764
2020-08-19,70.0,143.89247
2020-08-22,71.0,145.1685
2020-08-25,68.0,95.74917
2020-08-28,60.0,100.980194
2020-08-31,71.0,120.92319
2020-09-03,76.0,94.04347
2020-09-06,69.0,130.44225
2020-09-09,80.0,94.87383
2020-09-12,86.0,84.11586
2020-09-15,115.0,99.72138
2020-09-18,138.0,130.5198
2020-09-21,181.0,182.57542
2020-09-24,243.0,176.88304
2020-09-27,276.0,165.31221
2020-09-30,333.0,167.30638
2020-10-03,369.0,202.65381
2020-10-06,410.0,214.4615
2020-10-09,440.0,256.54745
2020-10-12,507.0,282.36993
2020-10-15,581.0,303.79782
2020-10-18,630.0,349.84448
2020-10-21,712.0,366.8404
2020-10-24,788.0,467.5274
2020-10-27,903.0,480.28845
2020-10-30,979.0,419.16898
2020-11-02,1075.0,559.2864
2020-11-05,1183.0,442.52072
2020-11-08,1232.0,511.53284
2020-11-11,1268.0,489.08713
2020-11-14,1365.0,549.7015
2020-11-17,1420.0,540.14233
2020-11-20,1422.0,599.0079
2020-11-23,1487.0,759.2246
2020-11-26,1456.0,773.0414
2020-11-29,1387.0,817.0535
2020-12-02,1315.0,1054.0339
2020-12-05,1247.0,1066.8467
2020-12-08,1272.0,1145.4746
2020-12-11,1275.0,1152.4086
2020-12-14,1288.0,1253.2189
2020-12-17,1366.0,1376.783
2020-12-20,1442.0,1307.3027
2020-12-23,1554.0,1459.1327
2020-12-26,1682.0,1433.1998
2020-12-29,1939.0,1441.7773
2021-01-01,2162.0,1393.8691
2021-01-04,2560.0,1411.382
2021-01-07,2929.0,1418.3026
2021-01-10,3264.0,1391.6626
2021-01-13,3626.0,1315.14
2021-01-16,3854.0,1354.2594
2021-01-19,3947.0,1347.1339
2021-01-22,4076.0,1350.5739
2021-01-25,4032.0,1539.2883
2021-01-28,3918.0,1765.6533
2021-01-31,3687.0,2019.2443
2021-02-03,3628.0,2378.8472
